"","CaseId","WEIGHT","P_CARLSON_EXP","P_WAYNE_EXP","P_WAYNE_EXP2","P_RELIG","P_ATTEND","P_SINCLAIR_EXP1","RND_00","ADS1","ADS2","CARLSON1","SCREENER","WAYNE1","WAYNE1_TOTALTIME","WAYNE2","WAYNE2_TOTALTIME","WAYNE3","WAYNE3_TOTALTIME","DISPLAY_WAYNE","DISPLAY_WAYNE_TOTALTIME","WAYNE45_ORDER1","WAYNE45_ORDER2","WAYNE4_TOTALTIME","WAYNE4","WAYNE5_TOTALTIME","WAYNE5","WAYNE6","RAN_WAYNE7_1A","RAN_WAYNE7_1B","WAYNE7_1","WAYNE7_1_TOTALTIME","RAN_WAYNE7_2A","RAN_WAYNE7_2B","WAYNE7_2","WAYNE7_2_TOTALTIME","WAYNE8","RAN_WAYNE9A","RAN_WAYNE9B","WAYNE9","WAYNE9_TOTALTIME","WAYNE10","WAYNE1112_ORDER1","WAYNE1112_ORDER2","WAYNE11","WAYNE12","WAYNE13_ORDER1","WAYNE13_ORDER2","WAYNE13_ORDER3","WAYNE13_ORDER4","WAYNE13_ORDER5","WAYNE13_ORDER6","WAYNE13_ORDER7","WAYNE13_ORDER8","WAYNE13_ORDER9","WAYNE13_A","WAYNE13_B","WAYNE13_C","WAYNE13_D","WAYNE13_E","WAYNE13_F","WAYNE13_G","WAYNE13_H","WAYNE13_I","COLLINS3","COLLINS4","COLLINS5_ORDER1","COLLINS5_ORDER2","COLLINS5_ORDER3","COLLINS5_ORDER4","COLLINS5_ORDER5","COLLINS5A","COLLINS5B","COLLINS5C","COLLINS5D","COLLINS5E","COLLINS6_ORDER1","COLLINS6_ORDER2","COLLINS6_ORDER3","COLLINS6_ORDER4","COLLINS6_ORDER5","COLLINS6_ORDER6","COLLINS6A","COLLINS6B","COLLINS6C","COLLINS6D","COLLINS6E","COLLINS6F","COLLINS7","COLLINS8","COLLINS9","COLLINS10","COLLINS1","COLLINS2","COLLINS11","COLLINS12","COLLINS13","COLLINS14","COLLINS1516_ORDER1","COLLINS1516_ORDER2","COLLINS15","COLLINS16","CARLSON2","CARLSON2_TOTALTIME","CARLSON3","RAN_CARLSON4A","RAN_CARLSON4B","RAN_CARLSON4C","CARLSON4","ADS3_ORDER1","ADS3_ORDER2","ADS3_ORDER3","ADS3_A","ADS3_B","ADS3_C","ADS4_ORDER1","ADS4_ORDER2","ADS4_ORDER3","ADS4_ORDER4","ADS4_ORDER5","ADS4_ORDER6","ADS4_ORDER7","ADS4_ORDER8","ADS4_ORDER9","ADS4_ORDER10","ADS4_ORDER11","ADS4_ORDER12","ADS4_ORDER13","ADS4_ORDER14","ADS4_ORDER15","ADS4_ORDER16","ADS4_ORDER17","ADS4_ORDER18","ADS4_ORDER19","ADS4_ORDER20","ADS4_A","ADS4_B","ADS4_C","ADS4_D","ADS4_E","ADS4_F","ADS4_G","ADS4_H","ADS4_I","ADS4_J","ADS4_K","ADS4_L","ADS4_M","ADS4_N","ADS4_O","ADS4_P","ADS4_Q","ADS4_R","ADS4_S","ADS4_T","ADS512_ORDER1","ADS512_ORDER2","ADS512_ORDER3","ADS512_ORDER4","ADS512_ORDER5","ADS512_ORDER6","ADS512_ORDER7","ADS5","ADS6","ADS7","ADS8","ADS9","ADS11","ADS12","CARLSON5","RAN_SINCLAIR1A","RAN_SINCLAIR1B","RAN_SINCLAIR1C","RAN_SINCLAIR1D","RAN_SINCLAIR1E","RAN_SINCLAIR1F","RAN_SINCLAIR1G","RAN_SINCLAIR1H","RAN_SINCLAIR1I","SINCLAIR1_1","SINCLAIR1_2","SINCLAIR1_3","SINCLAIR1_4","SINCLAIR1_5","SINCLAIR1_6","SINCLAIR1_7","SINCLAIR1_8","SINCLAIR1_9","SINCLAIR1_10","SINCLAIR1_DK","SINCLAIR1_SKP","SINCLAIR1_REF","SINCLAIR4","SINCLAIR5","RAN_SINCLAIRREVISED1A","RAN_SINCLAIRREVISED1B","SINCLAIRREVISED1","RAN_SINCLAIRREVISED2A","RAN_SINCLAIRREVISED2B","SINCLAIRREVISED2","RAN_SINCLAIRREVISED3A","RAN_SINCLAIRREVISED3B","SINCLAIRREVISED3","SINCLAIR9","RAN_SINCLAIR12A","RAN_SINCLAIR12B","SINCLAIR12","RAN_SINCLAIR13A","RAN_SINCLAIR13B","SINCLAIR13","SINCLAIR14","RAN_SINCLAIR15_1A","RAN_SINCLAIR15_1B","RAN_SINCLAIR15_1C","SINCLAIR15_1","RAN_SINCLAIR15_2A","RAN_SINCLAIR15_2B","RAN_SINCLAIR15_2C","SINCLAIR15_2","RAN_SINCLAIR15_3A","RAN_SINCLAIR15_3B","RAN_SINCLAIR15_3C","SINCLAIR15_3","RAN_SINCLAIR15_4A","RAN_SINCLAIR15_4B","RAN_SINCLAIR15_4C","SINCLAIR15_4","SINCLAIR16_1","SINCLAIR16_2","SINCLAIR16_3","SINCLAIR16_4","SINCLAIR16_5","SINCLAIR16_DK","SINCLAIR16_SKP","SINCLAIR16_REF","SINCLAIR17","SINCLAIR18","PartyID7","IDEO","QPA003B","VOTE20","QPA015A","QPAC2","HHINC_9","HHINC_4","STARTDT","ENDDT","duration","SURV_MODE","SURV_LANG","Device","GENDER","AGE","AGE4","AGE7","RACETHNICITY","EDUC5","MARITAL","EMPLOY","INCOME","STATE","REGION4","REGION9","METRO","INTERNET","HOUSING","HOME_TYPE","PHONESERVICE","HHSIZE","HH01","HH25","HH612","HH1317","HH18OV"
"1",52,0.23579039,3,3,2,10,1,2,1,3,4,2,6,"",NA,"",NA,"I go to work 8 hrs a day from M to F.  I watch the local and national news each nighr. I make a healthy meal for myself at least 4 to 5 days owe week.",114,1,7,1,2,15,5,9,5,4,NA,NA,NA,NA,1,2,2,44,3,1,2,1,31,2,1,2,1,5,6,2,3,7,9,8,4,5,1,2,2,2,2,4,2,4,1,2,40,2,2,3,4,5,1,4,2,2,2,2,6,2,3,4,5,1,2,3,4,2,4,2,1,3,3,4,3,"31",8,4,4,4,2,1,86,75,1,55,48,2,1,3,1,2,3,1,4,4,4,6,12,2,19,3,7,18,13,15,9,10,20,16,14,8,11,4,5,17,1,3,3,2,4,2,3,5,1,6,1,2,1,6,4,4,3,5,3,3,4,3,4,2,7,6,1,5,2,2,2,1,2,3,2,"Mr Smith",1,2,3,5,9,4,8,6,7,0,0,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,2,2,1,2,2,1,1,2,2,1,1,2,1,1,2,NA,NA,NA,NA,1,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,0,0,0,2,2,4,4,4,2,4,1,7,3,"11/16/2020 16:37","11/16/2020 17:05",28,2,1,"Smartphone",2,61,4,5,1,3,3,1,13,"WV",3,5,1,1,2,3,4,2,0,0,0,0,2
"2",55,1.57624614,1,3,2,2,NA,4,0,3,3,3,2,"",NA,"",NA,"I walk my dog daily for an hour",53,1,4,2,1,13,5,43,6,2,NA,NA,NA,NA,2,1,2,57,2,1,2,2,37,2,1,2,2,6,8,5,3,4,1,7,6,9,2,3,4,3,3,4,4,4,3,3,NA,2,5,3,4,1,2,2,3,2,2,2,5,3,4,1,6,2,2,3,2,2,3,1,3,3,3,2,3,"38",10,4,4,4,1,2,100,998,1,11,55,1,2,3,2,3,1,2,3,4,3,8,5,14,18,19,3,4,16,12,13,1,15,7,10,20,6,9,11,2,17,1,6,5,2,6,3,2,1,3,2,3,1,5,3,6,1,6,4,3,3,6,3,5,2,1,7,4,4,4,2,1,1,4,4,"Pat Smith",5,7,9,2,8,1,3,6,4,0,0,0,1,1,1,1,0,1,0,0,0,0,5,5,1,2,1,1,2,1,1,2,2,2,2,1,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,3,1,0,0,1,0,0,0,0,2,1,7,6,5,2,2,1,7,3,"11/16/2020 15:26","11/16/2020 15:51",25,2,1,"Smartphone",2,67,4,6,1,5,1,5,13,"OH",2,3,1,1,1,1,4,2,0,0,0,0,2
"3",57,0.23046867,3,2,1,13,2,4,0,3,3,3,6,"",NA,"I get angry when people don't respect the 6-ft rule. Especially since they don't know that I have tested positive before. And when you ask them politely to step back, they actually have an attitude about it. 

I get upset when I spend too much money while on a budget and I'm always on a budget. Living from check to check means you have to budget well. If I overspend even by a little bit I screw myself over for the week that I don't get paid.

Lastly I get upset about the rude way people park on one block. A lot of the residents on a row home Street give themselves so much extra space that there are three less parking spots then what could actually fit there. For example one neighbor parks 4 ft away from the car in front of him which takes up half of another spot but he'll make sure that he has the same amount of space on the front and back end of his vehicle.",318,"",NA,1,11,1,2,20,1,14,1,7,1,2,2,59,NA,NA,NA,NA,2,1,2,2,19,1,2,1,6,4,9,8,6,7,1,2,3,4,5,5,3,3,5,5,4,5,1,2,NA,3,1,2,3,4,5,5,3,5,2,1,6,1,2,3,4,5,4,5,5,4,3,3,3,3,3,3,3,"3",6,4,4,4,2,1,80,80,1,145,50,1,2,3,3,1,2,3,2,3,2,9,8,14,19,11,10,18,6,20,7,1,2,3,16,4,13,17,15,5,12,1,6,2,5,6,3,5,1,3,2,1,1,4,1,6,2,5,3,6,2,5,4,1,3,2,7,6,2,3,3,1,1,2,3,"John smith",4,3,2,1,7,5,6,8,9,0,1,0,0,0,1,1,0,1,0,0,0,0,2,3,1,2,1,1,2,2,1,2,1,2,2,1,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,1,0,0,0,0,0,0,0,1,1,3,3,2,1,1,1,3,1,"11/22/2020 22:07","11/29/2020 16:43",84,2,1,"Smartphone",2,33,2,2,2,3,5,3,5,"PA",1,2,1,1,2,3,4,5,0,0,2,0,2
"4",58,0.41719884,2,1,2,1,4,2,1,2,4,3,6,"At this time I am most afraid of being unemployed and not having a job to be able to afford a place to live and become homeless. My next worry is to loose more family members than I have already have due to other causes and now to deal with the thought of dealing with loosing someone new due to Covid-19 or them getting sick and no one being there with them.",1304,"",NA,"",NA,1,76,2,1,10,6,62,6,5,NA,NA,NA,NA,1,2,2,31,2,2,1,2,47,2,2,1,2,5,1,9,6,3,5,8,2,7,4,1,1,1,1,1,1,1,1,1,42,2,1,3,5,2,4,5,5,1,5,1,1,6,3,5,2,4,5,2,5,4,5,3,3,3,3,2,2,"25",6,3,4,4,1,2,73,75,1,24,50,1,2,3,3,1,3,2,4,4,4,11,1,9,17,6,19,16,3,5,13,8,15,14,10,12,20,2,7,4,18,1,6,6,6,4,6,2,1,1,1,1,2,6,6,4,1,6,1,4,1,2,3,7,6,5,4,1,4,4,4,4,4,4,4,"Not sure",7,4,2,3,1,5,6,8,9,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,1,2,2,1,2,2,1,2,1,2,1,2,1,2,1,2,2,NA,NA,NA,NA,2,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,1,2,1,4,1,1,98,1,5,2,"11/17/2020 18:57","11/17/2020 20:16",80,2,1,"Desktop",2,48,3,4,2,3,5,1,9,"OH",2,3,1,0,2,3,4,1,0,0,0,0,1
"5",60,0.54876148,1,3,1,12,9,4,0,2,3,2,6,"",NA,"",NA,"Go to work at a zoo. I scoop a lot of poop and listen to podcasts. I try and go to the gym but it’s been a lot less due to covid. At night I hang with the roommates.",87,1,2,1,2,7,4,8,3,6,2,1,2,14,NA,NA,NA,NA,2,2,1,2,10,2,2,1,2,5,1,5,4,9,2,8,3,7,6,2,1,2,2,2,2,2,1,3,45,2,1,5,4,2,3,4,2,2,2,4,1,5,4,2,3,6,2,3,4,2,3,2,3,3,3,2,1,"",NA,1,2,3,1,2,25,25,1,32,25,1,2,3,1,1,2,3,3,3,3,1,17,18,5,19,12,4,10,9,2,11,16,8,20,14,3,7,13,15,6,2,4,3,5,3,5,4,2,3,2,5,2,4,4,3,2,5,2,5,2,6,7,5,3,2,1,4,2,2,3,1,2,3,3,"Susan Collins?",5,9,1,4,3,8,7,2,6,0,0,0,0,1,0,1,1,0,0,0,0,0,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,0,1,0,1,1,0,0,0,2,2,2,3,4,1,1,1,7,3,"11/28/2020 22:24","11/28/2020 22:40",16,2,1,"Smartphone",2,27,1,2,1,4,5,1,13,"MI",2,3,1,1,2,1,4,5,0,0,0,0,2
"6",61,1.12396039,1,3,2,11,5,4,0,2,1,2,6,"",NA,"",NA,"One of the things I do everyday is consistently eat lunch at 11:00 a.m. my favorite time of the day as we know my day is halfway over with.

another thing I do everyday consistently is put my shoes on it really allows me to get around without my feet hurting and helps me not to stand out of the crowd, literally!

And the last thing I do on the daily basis is wake up every morning at 5:00 a.m. consistently to defecate I know TMI, but true...",212,1,2,2,1,9,7,9,6,6,NA,NA,NA,NA,1,2,1,20,2,1,2,2,2,2,1,2,1,6,8,7,3,9,4,1,2,5,6,2,3,98,4,3,1,5,3,3,40,3,3,4,1,2,5,3,2,4,3,2,3,4,1,2,5,6,1,5,2,1,2,3,2,1,4,4,3,"16",6,2,3,2,2,1,68,44,1,1,52,1,2,3,2,3,1,2,1,2,3,8,12,16,14,11,7,19,3,17,9,13,4,1,15,2,5,10,18,6,20,5,2,4,3,3,4,4,4,1,2,5,3,2,3,4,2,4,6,2,3,4,3,1,6,5,7,2,1,1,1,1,1,1,1,"Don't recall...",3,8,6,2,9,1,7,4,5,0,1,1,1,0,0,1,0,1,1,0,0,0,3,3,1,2,2,1,2,1,1,2,2,2,1,2,2,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,0,1,0,1,1,0,0,0,2,1,5,3,4,1,4,1,8,4,"11/16/2020 15:13","11/24/2020 0:42",18,2,1,"Smartphone",1,45,3,4,2,2,5,1,14,"AZ",4,8,1,1,1,1,4,6,0,0,0,0,6
"7",62,0.34814839,2,1,1,1,2,4,0,2,4,2,6,"I am afraid of catching Covid. I am a teacher in a physical classroom with special needs students, and many don't mask. They spit, bite, you name it.I am on the front lines and it is terrifying.

I am afraid because I live in a Red State. I moved to the Midwest from California, and there are rabid Trump fans all around me. I just don't feel safe.

I am afraid for our country, and the threat that Trump is to democracy and national security. I am afraid he will cause irreparable damage on his way out of office.",431,"",NA,"",NA,1,3,1,2,94,4,8,1,6,1,2,2,18,NA,NA,NA,NA,1,1,2,2,46,1,2,1,4,7,2,3,1,5,8,9,7,6,4,5,5,5,5,5,5,5,1,1,NA,2,2,3,1,5,4,4,3,2,2,2,2,3,1,5,6,4,4,3,4,2,3,2,3,3,3,2,5,"30",8,4,4,4,1,2,90,90,1,45,20,2,1,3,1,2,3,1,4,2,2,2,3,1,10,5,13,20,19,15,18,8,9,7,14,6,16,4,12,17,11,1,6,6,5,5,5,5,1,5,2,1,2,6,5,2,1,6,3,5,1,3,6,2,5,7,4,1,2,3,4,1,1,1,4,"I don't remember.",7,8,3,5,2,4,9,1,6,0,0,0,1,0,1,1,0,0,0,0,0,0,5,5,2,1,1,2,1,1,2,1,1,2,2,1,1,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,1,0,1,0,1,0,0,0,0,1,2,1,2,5,98,1,1,2,1,"11/17/2020 16:08","11/17/2020 16:39",31,2,1,"Desktop",2,63,4,5,2,3,3,7,3,"CA",4,9,1,1,2,3,4,3,0,0,0,0,3
"8",69,1.87852439,1,1,2,1,2,2,1,2,3,2,6,"Screw You!  I answered this question and the system timed me out, erased all my input.  You do not get a do-over, Jerks!",95,"",NA,"",NA,1,41,2,1,13,3,20,3,6,NA,NA,NA,NA,2,1,2,60,2,2,1,2,71,2,1,2,1,4,8,2,4,5,9,1,7,6,3,1,2,1,1,1,2,2,3,3,0,2,2,4,5,1,3,4,3,3,2,3,2,4,5,1,6,3,3,3,2,3,3,2,3,3,3,3,3,"28",3,4,4,4,1,2,80,80,1,58,10,2,1,3,1,2,1,3,3,3,2,20,8,2,13,16,11,15,4,12,5,14,9,19,10,1,18,7,6,17,3,1,6,4,6,2,6,5,2,6,1,2,1,6,1,5,1,6,2,6,1,6,2,5,1,4,7,3,3,3,3,1,1,2,2,"John Smith",8,2,3,5,6,1,4,7,9,0,0,0,1,1,0,1,0,0,0,0,0,0,2,2,2,1,2,2,1,2,2,1,1,2,2,1,1,1,2,1,2,NA,NA,NA,NA,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1,2,2,4,3,1,1,1,9,4,"11/19/2020 9:11","11/19/2020 10:20",35,2,1,"Desktop",1,65,4,6,1,4,1,1,16,"CO",4,8,1,1,1,1,2,2,0,0,0,0,2
"9",74,0.49445544,1,3,2,1,2,2,1,2,3,2,6,"",NA,"",NA,"Working and walking my dog",19,1,7,1,2,13,5,9,5,5,NA,NA,NA,NA,2,1,1,6,2,1,2,2,11,2,1,2,5,5,7,9,6,4,1,3,2,8,5,3,4,3,4,5,5,5,2,1,40,3,4,1,3,2,5,4,5,2,2,4,6,4,1,3,2,5,2,3,4,2,4,2,3,3,3,3,3,"19 months",3,4,4,4,2,1,50,51,1,1,51,1,2,3,1,1,3,2,3,3,1,7,9,6,12,16,4,1,3,13,2,10,8,5,19,15,11,18,20,14,17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,7,3,6,5,2,4,3,4,4,1,1,3,4,"john",5,7,9,6,1,8,4,3,2,0,1,0,0,1,1,1,0,0,1,0,0,0,5,5,1,2,1,1,2,2,1,2,1,2,2,1,1,2,1,1,4,NA,NA,NA,NA,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,1,2,4,5,1,1,1,2,1,"11/16/2020 16:30","11/16/2020 17:07",27,2,1,"Desktop",1,34,2,2,2,3,6,1,4,"IA",2,4,0,1,2,3,4,6,0,1,1,2,3
"10",80,0.36447694,3,2,2,3,5,4,0,2,3,3,6,"",NA,"1. I get really angry when I am backing out of a parking stall and people walk right behind me. It's dark, my lights are on, and I am partway out of the stall and all of a sudden they are right behind my car. They expect me to look out for their safety.
2. Probably I get the most angry at the phone calls I get from kids pretending to be my grandchild. They need money for various reasons. My husband received such a call and became so worried I was afraid he might have a stroke. I get 1-2 calls a month.
3. Along the same line are the phone calls from the ""IRS"", ""SS"", and ""Law enforcement"" needing my quick attention as well as my financial info. They call from different numbers so you can't block them. I even received a call from my own phone number.",543,"",NA,1,8,2,1,11,2,15,2,5,NA,NA,NA,NA,1,2,2,26,2,1,2,1,19,2,1,2,5,6,2,5,6,1,8,4,3,7,9,4,4,3,3,5,5,4,3,2,NA,2,2,5,1,4,3,4,4,2,2,2,2,5,6,1,4,3,4,4,4,2,5,2,1,3,3,2,5,"42",6,4,4,4,2,1,99,80,1,69,76,2,1,3,3,2,1,3,2,2,2,14,11,2,20,5,6,17,1,8,18,13,4,3,7,10,19,9,12,15,16,2,5,5,5,4,5,2,2,6,2,1,1,6,3,4,2,5,2,5,2,4,6,1,7,5,2,3,3,3,2,1,2,3,2,"Smith",7,6,9,3,5,4,1,8,2,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,2,1,1,2,1,2,2,1,2,2,2,1,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,1,1,1,0,0,0,0,0,0,1,2,6,4,3,2,2,1,6,2,"11/16/2020 20:07","11/16/2020 22:18",42,2,1,"Desktop",2,77,4,7,1,3,1,5,10,"UT",4,8,1,1,1,1,3,2,0,0,0,0,2
